GR_F,NPHIC,RHOBC,DTC,VCL_FINAL,PHIE_FINAL,TypeRock
38.6034,0.2335,2.263,79.249,0.0687,0.2262,1
37.3566,0.2143,2.279,78.297,0.0617,0.2174,1
37.9742,0.1999,2.279,73.672,0.0652,0.2169,1
39.3757,0.195,2.333,72.702,0.0731,0.1833,2
44.2722,0.2019,2.401,68.824,0.1022,0.1385,3
48.5993,0.2137,2.406,69.582,0.1299,0.1321,3
50.4707,0.2212,2.414,69.553,0.1425,0.1258,3
49.143,0.2235,2.436,69.976,0.1336,0.1135,3
44.969,0.2207,2.409,69.386,0.1066,0.1331,3
43.1534,0.2168,2.363,70.169,0.0954,0.1624,2
45.4197,0.2165,2.369,72.108,0.1094,0.157,2
52.6393,0.2209,2.367,73.783,0.1576,0.1524,2
57.585,0.2287,2.37,73.306,0.1938,0.1462,3
67.1094,0.2363,2.378,74.349,0.2718,0.1319,3
72.331,0.2386,2.36,76.236,0.3198,0.137,3
65.8892,0.2291,2.348,78.099,0.2612,0.1514,2
61.2617,0.2071,2.333,78.245,0.2226,0.1651,2
52.0287,0.1796,2.304,75.477,0.1533,0.1911,2
48.0201,0.1548,2.274,74.85,0.1261,0.2126,1
46.1839,0.14,2.321,74.275,0.1142,0.1855,2
44.3034,0.1389,2.399,74.876,0.1024,0.1397,3
42.688,0.1466,2.461,73.583,0.0926,0.1033,3
40.5089,0.1557,2.457,71.433,0.0796,0.1073,3
35.936,0.1642,2.483,69.963,0.054,0.0947,4
35.3837,0.1667,2.46,69.285,0.051,0.109,3
33.7969,0.1617,2.44,69.118,0.0426,0.1221,3
35.2634,0.1531,2.433,66.074,0.0503,0.1254,3
33.3089,0.144,2.455,64.859,0.0401,0.1133,3
33.1745,0.1338,2.472,63.264,0.0394,0.1031,3
34.5883,0.1261,2.526,62.35,0.0468,0.0695,4
36.8627,0.1198,2.531,60.814,0.059,0.065,4
37.996,0.1139,2.54,59.744,0.0653,0.0588,4
37.5657,0.11,2.531,60.497,0.0629,0.0645,4
36.3839,0.1082,2.534,61.439,0.0564,0.0635,4
38.4359,0.1092,2.503,64.186,0.0678,0.0809,4
39.1253,0.1129,2.46,65.417,0.0717,0.1065,3
40.2802,0.1188,2.46,66.448,0.0783,0.1057,3
39.7422,0.1268,2.461,67.575,0.0752,0.1054,3
39.6923,0.1352,2.417,70.508,0.0749,0.1321,3
38.7517,0.1442,2.387,70.16,0.0695,0.151,2
38.6219,0.1518,2.429,69.587,0.0688,0.1256,3
39.0451,0.1574,2.496,67.961,0.0712,0.0847,4
42.4778,0.1614,2.529,64.06,0.0913,0.0623,4
40.9696,0.1612,2.586,58.908,0.0823,0.0288,4
40.2357,0.1564,2.634,57.045,0.078,0.0002,4
36.4012,0.1474,2.5334,56.254,0.0565,0.0638,4
35.0451,0.1319,2.5455,54.93,0.0492,0.0574,4
37.1743,0.1143,2.541,57.002,0.0607,0.0587,4
39.2097,0.0981,2.5401,58.604,0.0721,0.0579,4
40.6585,0.0859,2.552,61.309,0.0805,0.0496,4
38.8325,0.0806,2.54,63.038,0.07,0.0582,4
39.7558,0.0836,2.5051,63.117,0.0753,0.0787,4
45.1407,0.0903,2.5208,63.599,0.1076,0.0653,4
49.328,0.0971,2.5516,61.918,0.1348,0.0433,4
53.0685,0.1034,2.452,69.671,0.1606,0.1005,3
53.2384,0.1112,2.355,74.072,0.1618,0.1592,2
52.529,0.13,2.462,74.128,0.1568,0.0949,4
55.1668,0.1594,2.46,72.436,0.1757,0.0939,4
65.5272,0.1893,2.456,73.152,0.258,0.0863,4
85.1522,0.2206,2.478,75.226,0.4562,0.049,4
101.4428,0.2689,2.5914,74.62,0.682,0,4
102.2067,0.3299,2.5697,75.051,0.6946,0,4
97.4427,0.3728,2.46,83.085,0.6195,0.0401,4
85.1428,0.3764,2.3978,84.119,0.456,0.0975,4
77.4581,0.335,2.3618,86.064,0.3709,0.1297,3
80.7299,0.2677,2.4527,80.265,0.4058,0.0704,4
86.0078,0.2229,2.5245,76.576,0.4664,0.0195,4
95.3241,0.2187,2.6913,63.047,0.5884,0,4
103.0269,0.2377,2.6882,66.111,0.7084,0,4
111.4008,0.2585,2.6727,70.744,0.8674,0,4
117.9777,0.2751,2.7193,68.084,1,0,4
117.8936,0.2875,2.6843,71.338,1,0,4
125.8532,0.3002,2.6926,73.536,1,0,4
128.1725,0.3155,2.7025,72.946,1,0,4
124.7322,0.3318,2.6567,75.719,1,0,4
116.4654,0.341,2.6013,77.618,0.9861,0,4
117.0726,0.3328,2.6259,75.563,1,0,4
114.8006,0.3038,2.4237,97.245,0.9445,0.0227,4
109.054,0.26,2.4052,98.27,0.819,0.0491,4
99.185,0.2203,2.667,67.308,0.646,0,4
93.0268,0.1982,2.6489,67.308,0.5563,0,4
84.6059,0.1956,2.6864,59.628,0.4497,0,4
72.5091,0.202,2.5632,67.181,0.3215,0.0137,4
60.7351,0.2049,2.501,68.478,0.2183,0.0638,4
52.1314,0.2032,2.4275,72.557,0.154,0.1162,3
49.1712,0.1956,2.4248,71.815,0.1337,0.1203,3
45.9676,0.1851,2.3718,76.434,0.1129,0.1549,2
49.2834,0.1784,2.3344,82.159,0.1345,0.1749,2
51.025,0.1747,2.3376,82.731,0.1463,0.1716,2
