GR,NPHI,RHOZ,DT,VCL,PHIE,CORE_INTERVAL
91.3035,0.1307,2.4112,77.6761,0.1689,0.1391,3
89.3647,0.1288,2.4072,77.8275,0.1507,0.1412,3
87.326,0.1272,2.4037,77.9497,0.1332,0.144,3
85.944,0.1276,2.402,78.0496,0.1343,0.1426,3
85.3393,0.1289,2.4034,78.1077,0.1424,0.1418,3
85.3672,0.129,2.4078,78.1427,0.1585,0.1386,3
86.0112,0.1308,2.4135,78.1693,0.1698,0.1357,3
86.9598,0.1342,2.4179,78.1993,0.1759,0.1352,3
87.8041,0.1364,2.4194,78.2455,0.1745,0.135,3
88.2299,0.1367,2.4186,78.3011,0.1676,0.1362,3
88.1411,0.1355,2.4166,78.3659,0.1622,0.1367,3
87.7178,0.134,2.4146,78.4252,0.158,0.1374,3
87.011,0.1324,2.4129,78.4812,0.1603,0.1372,3
85.9307,0.1311,2.4117,78.5376,0.1633,0.1368,3
84.6454,0.1306,2.4112,78.611,0.1706,0.1364,3
83.538,0.1311,2.4117,78.6986,0.179,0.1355,3
83.1195,0.1324,2.4135,78.8159,0.1887,0.1346,3
83.507,0.1345,2.4172,78.9298,0.1372,0.1392,3
84.8826,0.1376,2.4249,79.0406,0.1531,0.1348,3
88.1364,0.1424,2.4399,79.0853,0.2092,0.1256,3
93.6914,0.149,2.4648,79.0846,0.2725,0.115,3
101.4845,0.1561,2.4973,79.0343,0.3902,0.0898,3
110.0083,0.1616,2.5321,78.9208,0.4924,0.0658,3
116.892,0.164,2.5616,78.7823,0.5474,0.0532,3
121.1713,0.1646,2.5813,78.6157,0.6138,0.0358,3
123.2018,0.1662,2.5908,78.3646,0.6501,0.0289,3
124.3176,0.1706,2.5924,78.052,0.6659,0.0283,3
125.2912,0.1758,2.5919,77.6562,0.6807,0.0287,3
125.9383,0.179,2.5916,77.1714,0.6825,0.029,3
125.6443,0.1783,2.5924,76.6754,0.6852,0.0287,3
124.2328,0.1763,2.5939,76.1842,0.6847,0.0276,3
121.7727,0.1736,2.5959,75.7817,0.6827,0.0256,3
118.6841,0.1691,2.5984,75.4373,0.6747,0.0238,3
115.6993,0.1626,2.6004,75.181,0.6565,0.0227,3
113.5511,0.1556,2.6,74.973,0.6166,0.0236,3
112.9939,0.1486,2.5956,74.7897,0.5964,0.0252,3
113.6608,0.1419,2.5877,74.6408,0.5647,0.0282,3
115.0247,0.1365,2.5794,74.5642,0.5191,0.0346,3
116.1392,0.1355,2.5734,74.5462,0.5,0.0386,3
116.4428,0.1391,2.572,74.6535,0.5023,0.0394,3
115.9721,0.1433,2.5741,74.8427,0.5202,0.0384,3
115.223,0.1455,2.5786,75.0748,0.539,0.0352,3
115.0446,0.1446,2.584,75.3162,0.5478,0.033,3
115.6334,0.1418,2.5882,75.5044,0.554,0.0293,3
116.6178,0.1389,2.5894,75.651,0.5493,0.028,3
117.2845,0.1376,2.5866,75.7148,0.5402,0.0289,3
117.3242,0.1382,2.5821,75.77,0.5277,0.0322,3
116.6975,0.1398,2.5787,75.8217,0.5219,0.0351,3
115.5311,0.1411,2.5786,75.9327,0.5257,0.0352,3
114.4885,0.1411,2.5808,76.0839,0.5314,0.0341,3
114.3348,0.1405,2.5833,76.2723,0.5389,0.032,3
115.9779,0.1413,2.5853,76.5051,0.5472,0.0308,3
118.8723,0.1458,2.5876,76.7456,0.5636,0.03,3
122.1724,0.1548,2.5909,76.998,0.6024,0.028,3
124.8098,0.1662,2.5948,77.2761,0.6455,0.0259,3
126.3033,0.1749,2.5975,77.5711,0.6799,0.0253,3
