GR,NPHI,RHOZ,DT,VCL,PHIE,DEPO_FACIES
101.3707,0.1392,2.4294,77.2106,0.1604,0.1325,4
97.8795,0.136,2.4225,76.7019,0.1298,0.1375,4
95.7914,0.1329,2.4189,76.0582,0.1126,0.1385,4
94.1438,0.1294,2.4195,75.4346,0.0993,0.1382,4
92.237,0.1252,2.4266,74.8409,0.106,0.1314,4
89.9066,0.1197,2.4418,74.434,0.1215,0.1217,4
87.5692,0.1135,2.461,74.1417,0.1365,0.1116,4
85.6731,0.1084,2.4775,73.9523,0.1769,0.0979,4
84.6653,0.1073,2.4845,73.9043,0.1901,0.0937,4
84.7347,0.1108,2.4796,73.911,0.1895,0.0964,4
86.0687,0.1145,2.4682,73.9745,0.1654,0.1055,4
88.6546,0.1161,2.4557,74.1871,0.1415,0.1143,4
91.8925,0.1186,2.4472,74.4883,0.138,0.1183,4
95.2915,0.1235,2.4436,74.8962,0.1374,0.122,4
98.0936,0.1275,2.4438,75.4171,0.1501,0.1223,4
99.7901,0.1271,2.4463,75.9392,0.1582,0.1214,4
100.5034,0.1247,2.4486,76.4504,0.1604,0.1193,4
100.3855,0.1225,2.4497,76.8477,0.1572,0.1182,4
99.5209,0.1219,2.4493,77.1768,0.1527,0.1182,4
97.9922,0.1222,2.4485,77.4056,0.15,0.1188,4
95.9557,0.122,2.449,77.506,0.1512,0.1183,4
94.2012,0.1212,2.4519,77.5255,0.1564,0.1166,4
93.6338,0.1209,2.4567,77.4195,0.1636,0.1142,4
94.7519,0.123,2.4623,77.1931,0.1878,0.11,4
97.2244,0.1274,2.4674,76.9216,0.2099,0.1071,4
99.475,0.1305,2.4713,76.6253,0.2286,0.1058,4
100.3336,0.1296,2.4741,76.4094,0.2363,0.1033,4
98.7953,0.1274,2.4764,76.2547,0.238,0.1016,4
95.6434,0.1273,2.4793,76.2203,0.2397,0.1002,4
92.0666,0.1248,2.4828,76.2234,0.2416,0.0971,4
89.1241,0.1212,2.4852,76.2379,0.2146,0.0972,4
87.1415,0.1202,2.483,76.2153,0.2143,0.0971,4
86.0203,0.1215,2.4749,76.1829,0.212,0.1011,4
85.8401,0.1236,2.462,76.1547,0.1834,0.1109,4
86.7221,0.1255,2.4484,76.2119,0.1696,0.1168,4
88.3824,0.1273,2.4389,76.3569,0.1468,0.1248,4
90.2525,0.1289,2.4355,76.5707,0.1418,0.128,4
91.5017,0.1304,2.4375,76.8474,0.1535,0.1271,4
92.1168,0.1344,2.4408,77.0804,0.1748,0.1261,4
92.3202,0.1423,2.4418,77.2735,0.1996,0.126,4
92.2325,0.1517,2.4397,77.311,0.2226,0.1285,4
91.8813,0.1572,2.4366,77.2966,0.2332,0.1305,4
91.1464,0.1563,2.4348,77.2273,0.2318,0.1324,4
89.9421,0.1495,2.4349,77.1587,0.2066,0.1315,4
88.6226,0.1398,2.4358,77.116,0.1798,0.1301,4
87.5428,0.1311,2.4367,77.1061,0.1519,0.1282,4
87.0416,0.1252,2.4375,77.1335,0.1394,0.127,4
87.1991,0.1241,2.4379,77.1669,0.1339,0.1266,4
88.0241,0.126,2.4372,77.2038,0.1807,0.1229,4
89.4401,0.1282,2.4341,77.2503,0.2072,0.1247,4
91.0684,0.1293,2.4284,77.3128,0.2169,0.1261,4
92.2674,0.1303,2.4219,77.4037,0.2174,0.1298,4
92.4448,0.1312,2.416,77.5333,0.196,0.1351,4
91.3035,0.1307,2.4112,77.6761,0.1689,0.1391,4
89.3647,0.1288,2.4072,77.8275,0.1507,0.1412,4
87.326,0.1272,2.4037,77.9497,0.1332,0.144,4
85.944,0.1276,2.402,78.0496,0.1343,0.1426,4
85.3393,0.1289,2.4034,78.1077,0.1424,0.1418,4
85.3672,0.129,2.4078,78.1427,0.1585,0.1386,4
86.0112,0.1308,2.4135,78.1693,0.1698,0.1357,4
86.9598,0.1342,2.4179,78.1993,0.1759,0.1352,4
87.8041,0.1364,2.4194,78.2455,0.1745,0.135,4
88.2299,0.1367,2.4186,78.3011,0.1676,0.1362,4
88.1411,0.1355,2.4166,78.3659,0.1622,0.1367,4
87.7178,0.134,2.4146,78.4252,0.158,0.1374,4
87.011,0.1324,2.4129,78.4812,0.1603,0.1372,4
85.9307,0.1311,2.4117,78.5376,0.1633,0.1368,4
84.6454,0.1306,2.4112,78.611,0.1706,0.1364,4
83.538,0.1311,2.4117,78.6986,0.179,0.1355,4
83.1195,0.1324,2.4135,78.8159,0.1887,0.1346,4
83.507,0.1345,2.4172,78.9298,0.1372,0.1392,4
84.8826,0.1376,2.4249,79.0406,0.1531,0.1348,4
88.1364,0.1424,2.4399,79.0853,0.2092,0.1256,4
93.6914,0.149,2.4648,79.0846,0.2725,0.115,4
101.4845,0.1561,2.4973,79.0343,0.3902,0.0898,4
105.4905,0.1412,2.4912,75.9935,0.3179,0.0938,4
99.974,0.1333,2.4767,76.0322,0.2723,0.0991,4
94.09,0.128,2.4657,76.037,0.2162,0.1073,4
90.5222,0.1267,2.4603,75.9609,0.1978,0.1111,4
90.3722,0.1289,2.4622,75.8662,0.2027,0.1105,4
92.7065,0.1319,2.4684,75.7562,0.2275,0.1067,4
95.9283,0.1341,2.476,75.701,0.256,0.1014,4
98.1726,0.1357,2.4817,75.6806,0.271,0.0993,4
98.7971,0.137,2.4843,75.7123,0.2846,0.0972,4
98.0874,0.1379,2.4841,75.7575,0.2873,0.0974,4
96.6922,0.1382,2.4825,75.7949,0.286,0.0984,4
95.3806,0.1389,2.4822,75.8023,0.2879,0.0986,4
94.6313,0.1406,2.4849,75.77,0.3002,0.0968,4
94.9976,0.1422,2.4903,75.719,0.3165,0.0934,4
96.2708,0.1427,2.4954,75.6507,0.3291,0.091,4
98.1778,0.1426,2.4968,75.5908,0.335,0.0894,4
100.3834,0.1422,2.4939,75.5355,0.3263,0.0916,4
102.3577,0.1422,2.489,75.4832,0.3183,0.0937,4
103.497,0.1421,2.4862,75.4162,0.3079,0.0963,4
102.9738,0.1415,2.4868,75.3385,0.3082,0.0957,4
100.8305,0.1406,2.49,75.2428,0.3105,0.0944,4
98.2935,0.1405,2.4929,75.1481,0.3198,0.092,4
96.6737,0.1417,2.4933,75.0555,0.3237,0.0917,4
96.4741,0.1432,2.4901,74.9809,0.3227,0.093,4
96.8773,0.1429,2.4848,74.9249,0.3068,0.0967,4
97.218,0.1404,2.4808,74.8848,0.2892,0.0995,4
97.2832,0.1367,2.4824,74.8902,0.2822,0.0981,4
97.4605,0.1343,2.4923,74.9183,0.2938,0.093,4
98.2047,0.1344,2.5088,74.9682,0.3397,0.0797,4
100.0463,0.1347,2.5276,75.0476,0.3839,0.0671,4
102.9537,0.1326,2.5426,75.1282,0.4084,0.0605,4
106.5684,0.1339,2.5511,75.2098,0.4389,0.0529,4
110.235,0.1399,2.5537,75.2515,0.4646,0.0517,4
113.1031,0.145,2.5535,75.2565,0.4783,0.0521,4
96.737,0.104,2.6521,70.2422,0.6115,0.0001,4
96.007,0.11,2.6406,70.3184,0.5989,0.0001,4
94.8308,0.1082,2.6319,70.08,0.5854,0.0001,4
97.4605,0.1038,2.6237,70.4739,0.5885,0.0001,4
95.3192,0.1042,2.6327,69.763,0.5769,0.0001,4
94.6925,0.1011,2.6376,69.3142,0.5806,0.0001,4
90.6489,0.0926,2.6328,69.2085,0.5395,0.0001,4
92.8276,0.0889,2.6288,68.9167,0.5193,0.0001,4
89.5035,0.085,2.6181,68.6517,0.483,0.0017,4
88.4254,0.0764,2.6144,67.6854,0.0701,0.0003,4
84.5179,0.0729,2.6026,66.4034,0,0,4
82.2328,0.0712,2.6056,66.0565,0,0,4
84.2896,0.0874,2.6113,66.7729,0.2997,0.0217,4
89.5326,0.1144,2.5814,68.1546,0.3893,0.0368,4
96.8581,0.1551,2.4716,71.5391,0.3355,0.0905,4
97.9156,0.117,2.6429,73.3935,0.627,0.0435,4
95.0671,0.1197,2.5944,75.2772,0.5913,0.0666,4
92.8054,0.1224,2.5533,75.7429,0.527,0.0968,4
92.0147,0.1183,2.554,74.0266,0.4569,0.114,4
93.5486,0.1176,2.5582,73.0981,0.436,0.1165,4
92.668,0.1186,2.5493,74.5401,0.434,0.1154,4
85.8453,0.1206,2.5096,74.5948,0.3968,0.1219,4
76.0143,0.1221,2.4778,75.127,0.3033,0.1355,4
67.0936,0.1288,2.4547,74.6827,0.2244,0.1454,4
66.0728,0.1305,2.4511,73.9663,0.1985,0.1569,4
66.0958,0.1276,2.4654,73.0519,0.2039,0.1598,4
73.538,0.1242,2.4915,73.0352,0.2344,0.1545,4
78.1502,0.1224,2.508,73.3992,0.2853,0.1454,4
87.4734,0.1219,2.4927,73.5704,0.3109,0.14,4
87.5664,0.12,2.49,73.3122,0.2755,0.142,4
89.906,0.1144,2.5168,73.3005,0.2663,0.1393,4
92.157,0.1139,2.5793,73.7603,0.3236,0.1242,4
95.9131,0.1129,2.5977,73.2125,0.4757,0.0994,4
97.066,0.1177,2.594,72.1728,0.528,0.0878,4
93.079,0.1135,2.5738,71.6198,0.5371,0.0955,4
80.7243,0.1268,2.4987,74.2336,0.2749,0.1474,5
78.4948,0.1285,2.5044,74.2607,0.3104,0.144,5
82.9853,0.1297,2.5172,73.5577,0.3382,0.139,5
88.1282,0.1275,2.5289,74.2588,0.3763,0.1309,5
93.4717,0.1292,2.5448,74.2952,0.4025,0.1254,5
94.699,0.1336,2.5401,74.166,0.4525,0.115,5
86.4253,0.1286,2.5319,74.1882,0.47,0.1113,5
78.0746,0.1234,2.5141,73.4686,0.3926,0.1275,5
72.7532,0.1198,2.5091,73.5125,0.3236,0.134,5
74.1064,0.1227,2.5058,74.052,0.3096,0.1343,5
75.237,0.1221,2.5062,73.4307,0.3152,0.139,5
77.5847,0.1192,2.4995,73.6222,0.3123,0.1388,5
86.2657,0.1226,2.513,74.7789,0.2839,0.1367,5
97.5748,0.1355,2.5414,74.8224,0.3344,0.1376,5
100.2986,0.1465,2.5546,74.9742,0.4744,0.1104,5
95.2097,0.1485,2.5409,74.9069,0.571,0.0901,5
84.4589,0.1332,2.5252,74.6561,0.4755,0.1102,5
78.6368,0.1283,2.5073,75.1137,0.3962,0.1268,5
70.4566,0.126,2.5037,74.4358,0.3008,0.1389,5
109.7116,0.1922,2.565,77.9539,0.4303,0.0933,1
109.7117,0.1921,2.5644,78.6394,0.4477,0.0941,1
107.7972,0.1927,2.5633,79.3737,0.4556,0.0957,1
105.2282,0.1936,2.5618,79.929,0.4601,0.0976,1
102.0045,0.1948,2.5601,80.3053,0.4612,0.0999,1
99.3075,0.196,2.5574,80.2776,0.4336,0.1023,1
97.6316,0.1969,2.5546,80.1672,0.4158,0.1041,1
97.1909,0.1976,2.5518,79.966,0.4106,0.1051,1
99.1537,0.1972,2.5499,79.8233,0.4132,0.1044,1
100.99,0.1965,2.5492,79.716,0.4154,0.1024,1
102.365,0.1954,2.5503,79.6552,0.4158,0.0989,1
102.7847,0.1941,2.5545,79.5979,0.4336,0.0938,1
102.0688,0.1926,2.5602,79.5349,0.4471,0.088,1
99.5656,0.1909,2.5676,79.461,0.4488,0.0812,1
98.7032,0.1893,2.5752,79.3934,0.4738,0.0761,1
98.4413,0.1879,2.5817,79.3374,0.4946,0.0724,1
98.7681,0.1866,2.586,79.3045,0.4956,0.0714,1
99.5071,0.1853,2.5864,79.2997,0.4982,0.0736,1
100.4342,0.184,2.5846,79.3077,0.5003,0.0769,1
101.5658,0.1826,2.5802,79.3291,0.4993,0.0806,1
103.5818,0.1814,2.5754,79.3552,0.4968,0.0824,1
105.5195,0.1804,2.5712,79.3856,0.4946,0.0831,1
105.9932,0.1802,2.5691,79.4252,0.4961,0.0815,1
106.3114,0.1804,2.5693,79.4843,0.4986,0.0795,1
106.4884,0.1809,2.5708,79.561,0.5024,0.0773,1
106.2911,0.1815,2.574,79.6837,0.511,0.0755,1
106.1779,0.1818,2.5768,79.836,0.5245,0.0749,1
106.1522,0.182,2.5793,79.9986,0.5406,0.075,1
106.4201,0.182,2.58,80.1145,0.5555,0.0758,1
107.0618,0.182,2.5795,80.1365,0.5632,0.0771,1
108.0222,0.182,2.5782,80.0877,0.5661,0.0788,1
