Gamma,Porosity,Fluvialfacies
77.7888,0.227957,2
76.0943,0.228166,2
77.3038,0.226997,2
78.8086,0.233717,2
75.4729,0.249271,1
71.6451,0.25451,1
71.9597,0.24749,1
72.6956,0.240854,1
70.801,0.235888,2
68.6388,0.226276,2
68.0812,0.211377,2
67.6866,0.21877,2
64.4788,0.251258,2
60.985,0.26296,2
63.7542,0.249211,2
67.1602,0.241159,2
60.6784,0.24197,2
53.1913,0.238899,1
64.8962,0.230651,1
78.5524,0.221372,2
72.5192,0.211484,2
64.484,0.211378,2
69.1532,0.222109,2
75.1141,0.234644,2
72.7249,0.248062,2
69.4866,0.248397,2
74.241,0.234229,3
79.8082,0.229751,3
72.8347,0.237424,2
64.5862,0.234067,2
66.4503,0.217322,1
69.3425,0.210795,1
71.249,0.216888,1
73.0553,0.222622,1
74.3674,0.226678,1
75.6293,0.222505,1
75.0756,0.209437,1
74.3372,0.218322,3
68.5366,0.252297,3
62.2212,0.25961,2
73.4708,0.235,2
86.5063,0.221288,2
84.6029,0.22283,2
81.1806,0.225222,2
79.0509,0.227,2
77.0525,0.227744,2
77.3246,0.227411,2
77.8275,0.226899,1
78.5113,0.226302,1
79.2134,0.222869,1
86.4783,0.216321,1
94.4105,0.212986,0
94.2185,0.213508,0
93.2005,0.212669,0
96.1632,0.209942,3
99.5306,0.209821,3
96.4445,0.212763,3
92.7021,0.214529,1
92.3454,0.214688,1
92.333,0.214978,1
91.6728,0.215575,1
90.9467,0.215209,1
92.5226,0.21375,1
94.3325,0.212406,1
95.6432,0.211298,1
96.9032,0.210748,1
96.9191,0.210789,1
96.8086,0.208906,0
101.29,0.204843,0
106.238,0.203798,0
103.714,0.2063,0
100.431,0.209932,0
95.284,0.21445,1
89.948,0.214324,1
95.5756,0.208994,1
102.318,0.206255,0
101.933,0.206898,0
100.824,0.208354,0
98.5547,0.210361,0
96.1672,0.211629,0
95.6099,0.212029,0
95.2388,0.21373,0
91.6637,0.216951,1
87.7628,0.216243,1
93.3065,0.211052,1
99.8105,0.209226,0
97.5419,0.211566,0
94.3814,0.212209,0
96.0504,0.21056,0
98.2103,0.210294,0
96.6664,0.211787,1
94.7458,0.211863,1
96.4901,0.210199,1
98.6069,0.210526,0
95.7309,0.213223,0
92.3471,0.214119,0
93.6511,0.21279,0
95.4316,0.212121,0
95.2042,0.212405,0
94.7727,0.212894,1
94.0693,0.213512,1
93.3383,0.211762,0
98.1302,0.207392,0
103.484,0.20543,0
102.682,0.20639,0
101.255,0.207919,0
99.1331,0.209778,0
96.9406,0.210616,0
97.1887,0.210295,0
97.6849,0.210964,1
95.6367,0.212841,1
93.3298,0.212777,1
95.7857,0.210451,0
98.7258,0.210144,0
96.4982,0.21229,1
