Gamma,Porosity,Fluvialfacies
86.25135,0.217476,0
94.227226,0.213548,0
94.357315,0.214178,0
92.928078,0.217087,0
88.35302,0.221824,0
83.152733,0.224038,0
83.783257,0.222865,0
85.572624,0.220948,0
87.739639,0.218811,0
89.98172,0.217664,0
90.109047,0.217744,0
89.816071,0.219656,0
86.16478,0.223518,0
81.846039,0.224079,0
85.004211,0.220299,0
89.648407,0.217909,0
89.935326,0.218051,0
89.356239,0.21596,0
94.251778,0.210688,0
100.23539,0.210592,1
94.448418,0.217334,1
86.322067,0.223901,1
80.898338,0.224444,1
76.011742,0.225332,1
77.239166,0.228007,1
79.681732,0.226917,1
81.313255,0.225413,0
82.783577,0.226139,0
79.816994,0.220506,2
75.968582,0.218794,2
79.685448,0.223399,2
84.905907,0.223736,0
82.653336,0.226639,0
78.915512,0.226061,0
83.845734,0.220448,0
90.498695,0.217083,0
90.789185,0.217414,0
89.815147,0.22102,0
83.347832,0.233918,0
75.788742,0.237966,0
77.496696,0.229318,0
81.046455,0.225917,0
82.012863,0.225229,0
82.465843,0.2237,0
85.168457,0.220865,0
88.318176,0.214986,0
97.299576,0.205719,0
107.44,0.206249,0
96.207458,0.219194,0
80.727081,0.226775,0
80.562752,0.225459,0
83.442451,0.223507,0
84.589073,0.222563,0
85.391243,0.21924,0
91.447556,0.212864,0
98.548119,0.210091,0
97.170433,0.212243,0
94.107712,0.213222,0
95.151016,0.211815,0
97.010391,0.212384,0
93.976067,0.215796,1
89.969131,0.218168,1
89.079033,0.218731,1
88.808403,0.218463,1
89.632172,0.217559,2
90.673454,0.215496,2
93.891632,0.212167,2
97.542465,0.212259,2
93.701088,0.216703,0
88.370651,0.218184,0
90.648216,0.215244,0
94.437859,0.213134,0
95.002419,0.212897,0
94.925995,0.216711,0
87.132034,0.205016,0
77.804237,0.209931,1
76.682442,0.228365,1
77.191559,0.223475,1
86.00399,0.21599,1
96.466675,0.208968,1
101.56925,0.204539,1
105.60652,0.206555,1
97.410103,0.215676,1
86.782272,0.220263,0
87.944153,0.218002,0
91.449211,0.219012,0
85.859039,0.222096,0
78.461212,0.220904,0
87.001526,0.214302,0
98.709511,0.208959,0
99.343559,0.209412,0
97.776688,0.213505,0
90.896156,0.220685,0
82.959557,0.222232,0
87.703514,0.216413,2
94.967712,0.213631,2
93.445259,0.215953,2
90.176476,0.217777,2
89.681763,0.217989,1
89.738396,0.21827,1
89.102013,0.218954,1
88.327904,0.219196,1
88.602959,0.218828,1
89.086517,0.220068,1
86.042435,0.223358,1
82.297226,0.22237,1
88.082382,0.215846,1
95.761673,0.211367,1
97.32402,0.210442,1
97.670654,0.214254,0
89.457779,0.223038,0
79.543724,0.241368,0
75.996445,0.241243,1
73.714554,0.216038,1
75.411095,0.21445,0
77.898338,0.223106,0
85.782722,0.217454,0
94.739769,0.213832,1
93.260101,0.216271,1
89.706161,0.218842,1
87.95462,0.220365,0
86.56131,0.219634,0
89.462814,0.216409,0
93.217903,0.217592,0
87.021812,0.224556,1
78.847954,0.228007,1
