Gamma,Porosity,Fluvialfacies
78.643066,0.173704,2
74.57785,0.176716,2
72.157539,0.178592,2
70.538605,0.179174,2
70.905174,0.178385,2
72.239059,0.176637,2
74.667709,0.174133,2
77.629715,0.172394,1
78.410431,0.172162,1
78.128448,0.17208,1
78.588112,0.171486,1
79.409088,0.170448,1
80.822586,0.169,1
82.524757,0.167802,1
83.400642,0.167175,3
83.873955,0.16812,3
81.368225,0.171122,3
77.41114,0.174614,3
73.850304,0.177832,2
70.482513,0.178773,2
71.823875,0.176462,2
75.459496,0.172788,1
79.731606,0.168676,1
84.31382,0.165749,1
86.033577,0.164799,1
86.358772,0.167378,2
80.482018,0.17424,2
71.583763,0.181075,2
65.766586,0.185782,2
61.450485,0.18845,2
60.021782,0.189124,2
59.999786,0.187547,2
63.417168,0.183595,2
68.510178,0.180245,2
70.629669,0.178948,2
71.300499,0.178122,1
72.407295,0.176996,1
73.726486,0.175563,1
75.491814,0.173822,1
77.474503,0.172235,1
78.910187,0.171025,1
80.079369,0.171613,1
77.642563,0.174693,3
73.448975,0.179945,3
66.335121,0.187214,3
57.798561,0.194555,3
50.530811,0.20102,2
43.881203,0.205838,2
40.157993,0.208634,2
37.860489,0.208582,2
40.270252,0.205278,2
44.973343,0.200924,2
49.643124,0.196594,2
54.296677,0.192515,2
58.424835,0.188799,2
62.297031,0.187349,2
61.546143,0.189093,2
58.542942,0.191168,2
57.080032,0.192178,2
56.367531,0.192846,2
55.641327,0.193524,2
54.908447,0.192599,2
57.633205,0.189285,2
62.04248,0.185962,1
64.788132,0.183788,1
66.723289,0.182343,1
67.898232,0.181424,1
68.702789,0.181243,2
68.286728,0.181906,2
67.275986,0.151664,2
68.250084,0.10531,2
70.19117,0.088212,2
73.323608,0.085032,2
77.036461,0.081942,2
79.976624,0.079386,2
82.540344,0.078112,0
82.718414,0.078487,0
81.734222,0.079367,0
80.823486,0.080197,0
79.948532,0.080595,0
79.965523,0.080378,0
80.417061,0.07996,0
80.863861,0.079545,0
81.308357,0.078245,0
83.662994,0.075626,0
86.948227,0.072694,0
89.97718,0.069938,0
92.881279,0.067084,0
96.12236,0.063996,0
99.527618,0.063139,0
97.967636,0.065712,0
93.988647,0.069644,0
89.503036,0.073925,0
84.770615,0.078393,0
79.881699,0.082971,0
74.91655,0.086258,0
72.805313,0.087573,0
72.084473,0.087318,1
73.354179,0.085688,1
75.593666,0.083274,1
78.550819,0.080365,0
81.857613,0.077924,0
83.806236,0.076421,0
85.093178,0.076279,0
84.114319,0.0777,0
82.031593,0.080353,0
78.401764,0.084075,0
74.018196,0.087546,0
70.931305,0.09012,2
68.476135,0.092168,2
66.519501,0.093873,2
64.805748,0.094489,2
65.194519,0.093653,2
66.60762,0.091767,1
69.25396,0.08903,1
72.501106,0.086904,1
73.831581,0.086102,1
74.228279,0.086737,1
72.462631,0.088867,3
69.643532,0.092432,3
64.786507,0.097405,3
58.936619,0.101669,3
55.60775,0.104191,2
53.507088,0.10514,2
53.562538,0.104601,2
54.668419,0.103462,2
56.015194,0.102156,2
57.479324,0.100739,1
59.067196,0.099236,1
60.715347,0.097787,1
62.186016,0.09646,1
63.570221,0.095638,1
63.957573,0.095504,1
