Gamma,Porosity,Fluvialfacies
78.869453,0.267428,0
78.008301,0.256076,0
75.581558,0.242126,0
73.238037,0.238589,0
71.504173,0.238377,0
71.459229,0.240893,0
73.4478,0.244279,0
75.83062,0.256038,0
78.084259,0.270472,0
79.799255,0.266565,0
80.844872,0.256802,0
80.38166,0.256206,0
78.141602,0.258538,0
77.074661,0.253027,0
78.122734,0.245013,0
80.320938,0.249393,0
83.361206,0.257731,0
86.870644,0.261494,0
90.730186,0.263797,0
93.797852,0.244432,0
95.70903,0.218148,0
95.946472,0.217284,0
94.345032,0.224536,0
87.30777,0.246015,0
73.686234,0.272036,0
63.072395,0.283209,0
58.528858,0.289643,0
58.117874,0.284402,0
61.220753,0.275434,0
65.996002,0.264269,0
71.855675,0.252403,0
76.827644,0.237911,0
80.282249,0.222581,0
82.632019,0.231234,0
84.008675,0.247545,0
85.735664,0.241234,0
88.235558,0.2277,0
90.149986,0.24069,0
91.045235,0.262148,0
90.99617,0.259357,0
90.026672,0.248823,0
86.375076,0.245943,0
79.478905,0.245507,0
75.319756,0.252127,2
75.807526,0.261,2
80.953362,0.247642,2
90.760841,0.227184,2
97.119331,0.230177,2
97.439201,0.240658,2
95.756302,0.232117,2
93.359238,0.217503,2
90.273407,0.225104,2
86.506943,0.239799,2
83.491196,0.248648,2
81.683189,0.255631,2
80.336388,0.261581,2
79.212402,0.267202,2
78.285912,0.267111,2
77.54882,0.265196,2
77.908432,0.261191,2
79.654434,0.256519,2
82.109657,0.249492,2
85.057877,0.241714,2
88.541397,0.246168,2
92.573746,0.254527,2
92.706635,0.266182,2
87.519775,0.278889,2
80.937218,0.271267,2
74.211861,0.257154,2
69.055145,0.260213,2
66.01355,0.268755,2
65.364136,0.270532,2
67.195396,0.27015,2
70.25882,0.268907,2
74.155769,0.267388,2
78.571793,0.266528,2
83.406456,0.265879,0
86.22171,0.263502,0
86.239113,0.260574,0
84.986069,0.243469,0
82.950256,0.221838,0
81.365021,0.232547,0
80.624146,0.253582,0
79.560143,0.24473,0
77.800262,0.226334,0
76.190826,0.232812,0
75.002068,0.247232,0
76.785156,0.247288,0
82.35466,0.242757,0
86.284805,0.243773,0
86.843201,0.24656,0
85.263039,0.233077,0
81.938042,0.214399,0
79.117104,0.228945,0
77.51825,0.254098,0
75.644775,0.259103,0
73.018806,0.257676,0
69.979317,0.278571,0
66.634514,0.306592,0
65.481483,0.303574,0
67.317505,0.290646,0
69.82917,0.269893,0
72.277832,0.246642,0
74.679474,0.253767,0
77.0392,0.27059,0
79.818054,0.253596,0
83.163239,0.225803,0
85.634315,0.219271,0
86.771347,0.219527,0
86.554359,0.228544,0
84.976982,0.240358,0
83.008965,0.258925,0
80.959938,0.279649,0
80.552299,0.265363,0
82.335991,0.239899,0
86.705421,0.2386,0
93.78653,0.245016,0
101.03632,0.236631,0
107.64285,0.22352,0
110.9325,0.221674,0
110.05161,0.223425,0
103.46317,0.234399,0
90.676407,0.248318,0
82.472366,0.254881,0
82.293304,0.259095,0
83.275452,0.244072,0
83.22728,0.222907,0
79.886169,0.220187,2
72.529716,0.223356,2
67.101524,0.25063,2
65.499352,0.2856,2
65.473289,0.278713,2
66.30497,0.258462,2
67.445236,0.248325,2
68.718781,0.241417,2
68.432579,0.251366,2
66.046082,0.266697,2
62.948841,0.264243,2
59.584518,0.25611,2
56.881599,0.267138,2
55.136536,0.284284,2
56.25145,0.270848,2
60.833668,0.247648,2
67.345085,0.255753,2
75.294594,0.273853,2
84.064476,0.267424,2
93.457497,0.253164,2
97.244682,0.25297,2
93.43718,0.257267,2
85.800926,0.261818,2
75.538345,0.266451,2
68.239288,0.26986,2
65.68856,0.272878,2
66.211563,0.263386,2
69.273605,0.2499,1
74.008728,0.238758,1
80.14045,0.228364,1
86.236588,0.225993,1
91.839874,0.226184,1
95.242744,0.230943,1
95.899986,0.23716,1
94.425423,0.232871,1
91.015022,0.225226,1
87.080711,0.231356,1
83.07328,0.241883,1
80.033913,0.246423,1
78.295021,0.24905,1
77.703857,0.245088,1
78.211639,0.239022,1
78.372162,0.237178,1
77.723671,0.236683,1
77.032516,0.252366,1
76.543404,0.273215,2
76.261848,0.262105,2
76.189651,0.24079,2
75.086159,0.249087,2
72.55526,0.266838,2
70.821884,0.278178,2
70.596436,0.287472,2
72.219124,0.276169,2
75.798569,0.25829,2
76.575829,0.247799,2
73.031441,0.239668,2
70.175995,0.248394,2
69.609322,0.262502,2
72.692619,0.26564,2
79.860512,0.265276,2
87.913818,0.238282,1
95.831078,0.202785,1
100.99051,0.207391,1
102.55498,0.224802,1
98.15271,0.248724,1
87.026421,0.274724,1
79.942932,0.278867,1
80.339981,0.27603,1
83.314407,0.268697,1
87.30069,0.259926,1
90.476624,0.252018,1
92.260429,0.244385,1
91.926941,0.25064,1
89.244629,0.26133,1
86.293861,0.25603,1
83.738884,0.245625,1
83.713669,0.250384,1
86.899574,0.259985,1
88.476822,0.255445,1
86.906509,0.246389,1
84.239403,0.241695,1
81.130264,0.238395,1
80.111015,0.225516,1
81.990051,0.209578,1
83.767883,0.222306,2
84.486809,0.244187,2
84.657593,0.246093,2
84.443314,0.241623,2
84.611542,0.245685,2
85.407349,0.252471,2
85.417236,0.254998,2
84.189911,0.256165,2
82.148895,0.249068,2
79.42942,0.239332,2
76.830254,0.245592,2
74.606438,0.256958,2
73.220161,0.2489,2
72.818993,0.23464,2
73.135605,0.245086,2
74.084633,0.263421,2
74.325912,0.258149,2
73.431564,0.245341,2
74.100121,0.250761,2
77.193199,0.262003,2
82.43779,0.248904,2
89.746719,0.228035,2
94.743248,0.229447,2
96.029961,0.237973,2
93.729881,0.234944,2
87.882317,0.228227,2
78.346046,0.258425,2
65.075996,0.300409,2
60.791912,0.277466,2
69.555077,0.233792,2
78.888245,0.235359,2
84.807533,0.251371,2
86.111427,0.252844,2
82.416283,0.249674,2
79.253586,0.245473,2
78.389488,0.240942,2
78.647629,0.250809,1
79.652397,0.265274,1
81.467911,0.256037,1
84.114616,0.239232,1
85.045227,0.236723,1
83.446411,0.238779,1
81.450462,0.242044,1
79.73819,0.245695,1
79.068375,0.248053,1
79.683273,0.249997,1
78.841873,0.249793,1
75.668983,0.248904,1
73.200844,0.257504,1
72.406868,0.269133,1
75.982033,0.257039,1
84.786797,0.23737,1
91.092934,0.227704,1
92.432922,0.221231,1
91.579109,0.226827,1
89.416687,0.236276,1
87.31768,0.249494,1
85.720169,0.263914,1
84.082336,0.255434,1
82.231163,0.239642,1
80.330215,0.239361,3
78.431694,0.244032,3
76.790062,0.254742,3
75.486565,0.26738,3
75.809128,0.271121,3
78.168968,0.27202,3
81.460197,0.267621,3
85.32972,0.26153,3
87.628708,0.251212,3
87.671066,0.239544,3
88.407181,0.240895,3
90.779076,0.246402,3
94.245239,0.240998,1
98.632774,0.232109,1
102.90547,0.227347,1
106.73246,0.223902,1
109.2777,0.222631,1
110.27426,0.222055,1
109.98178,0.223173,1
