GR	NPHI	RHOB	DT	VCL	PHIE
116.2539978	0.119000003	2.769000053	124.5431976	1	0
127.0159988	0.173999995	2.762500048	132.0525055	1	0
132.0090027	0.229000002	2.756000042	136.1528015	1	0
135.5119934	0.425999999	2.64199996	168.7993012	1	0
138.6667023	0.384999991	2.519000053	207.646698	1	0
141.2306976	0.291999996	2.494999886	246.4730072	1	0
143.3294983	0.298999995	2.423000097	257.2396851	1	0
143.8215027	0.28549999	2.405999899	262.2919922	1	0
143.3925018	0.272000015	2.388999939	265.7507019	1	0
144.0437012	0.291999996	2.398999929	268.2820129	1	0
144.8596954	0.291999996	2.41899991	268.4509888	1	0
145.9877014	0.301999986	2.394999981	267.5350037	1	0
145.8013001	0.294	2.39199996	266.0545044	1	0
145.2160034	0.291000009	2.395499945	265.4444885	1	0
146.594696	0.287999988	2.398999929	264.9522095	1	0
148.7893066	0.286000013	2.413000107	264.6010132	1	0
150.8990021	0.333999991	2.405999899	263.9039917	1	0
150.6777954	0.296999991	2.407000065	263.4981995	1	0
148.6835022	0.300999999	2.404000044	263.0545044	1	0
147.5041962	0.305000007	2.401000023	264.7348023	1	0
146.5346985	0.31099999	2.395999908	263.7377014	1	0
147.1840057	0.312999994	2.414000034	264.1817017	1	0
146.6952972	0.282999992	2.410000086	264.376709	1	0
147.1054993	0.303000003	2.427999973	266.5343018	1	0
147.0054932	0.299499989	2.426000118	266.5360107	1	0
147.4842072	0.296000004	2.424000025	265.1919861	1	0
149.4602966	0.294	2.424000025	271.3887024	1	0
150.7062988	0.305000007	2.414000034	278.7489929	1	0
152.0639954	0.328000009	2.405999899	288.618988	1	0
152.0549927	0.34799999	2.400500059	294.2529907	1	0
151.6513062	0.368000001	2.394999981	298.0143127	1	0
150.4720001	0.342999995	2.401000023	303.6719971	1	0
150.2453003	0.370999992	2.411999941	309.9013062	1	0
151.797699	0.416999996	2.400000095	317.6882935	1	0
154.4252014	0.347000003	2.358999968	320.8057861	1	0
156.3995056	0.342000008	2.351000071	320.5784912	1	0
156.6864929	0.337000012	2.342999935	319.9189148	1	0
154.5962982	0.36500001	2.361000061	314.8337097	1	0
152.1569977	0.386999995	2.41899991	303.7846985	1	0
151.191803	0.402999997	2.423000097	292.7105103	1	0
152.614502	0.416500002	2.42750001	285.9215088	1	0
153.4445038	0.430000007	2.431999922	287.5621948	1	0
148.7070007	0.404000014	2.430999994	290.8120117	1	0
142.8883057	0.377000004	2.421000004	291.1052856	1	0
138.5789948	0.368999988	2.411000013	289.274292	1	0
139.6804962	0.416000009	2.355000019	286.3299866	1	0
141.7064972	0.397500008	2.384500027	286.8380127	1	0
141.061203	0.379000008	2.414000034	283.2077026	1	0
138.1649933	0.330000013	2.39199996	283.1333008	1	0
133.2870026	0.356000006	2.460000038	284.6882935	1	0
131.5807037	0.34799999	2.486999989	287.7966919	1	0
133.0027008	0.338	2.460000038	285.5971985	1	0
137.2839966	0.340000004	2.447000027	280.01651	1	0
140.1737061	0.342000008	2.434000015	276.9702148	1	0
141.4170075	0.43599999	2.417000055	272.3696899	1	0
139.4766998	0.388000011	2.448999882	268.7690125	1	0
138.7707977	0.340999991	2.434999943	262.9728088	1	0
139.8905029	0.337000012	2.411999941	258.2225037	1	0
145.4904938	0.333000004	2.388999939	256.5947876	1	0
151.4349976	0.354999989	2.400000095	256.5922852	1	0
154.7330017	0.342999995	2.430000067	260.9110107	1	0
152.9857025	0.331999987	2.467000008	262.9577026	1	0
149.2619934	0.317000002	2.470000029	265.8262024	1	0
146.5529938	0.292499989	2.473500013	266.8204956	1	0
146.7622986	0.268000007	2.476999998	267.4595032	1	0
150.2583008	0.287999988	2.438999891	268.2297058	1	0
155.6273041	0.360000014	2.415999889	255.1972961	1	0
161.5697937	0.379999995	2.459000111	240.3589935	1	0
165.4214935	0.34799999	2.440999985	223.1399994	1	0
166.8981934	0.316000015	2.423000097	216.7557068	1	0
164.6779938	0.259000003	2.395999908	210.9440002	1	0
159.6672974	0.233999997	2.421000004	205.8950043	1	0
152.2897034	0.324000001	2.447000027	209.521698	1	0
146.7153015	0.477999985	2.463999987	217.1674957	1	0
142.0379944	0.513000011	2.470499992	228.6425018	1	0
136.1197052	0.547999978	2.476999998	240.0424957	1	0
127.4116974	0.514999986	2.505000114	249.7093964	1	0
117.5317001	0.453000009	2.493000031	256.3869934	1	0
111.5127029	0.453000009	2.321000099	258.139801	1	0
108.7320023	0.453500003	2.188999891	259.9914856	1	0
108.5903015	0.453999996	2.056999922	264.4685059	1	0
110.7070007	0.437999994	2.11500001	269.9580078	1	0
113.652298	0.430000007	2.272000074	274.7177124	1	0
116.3219986	0.551999986	2.117000103	290.3240051	1	0
116.3002014	0.481999993	1.888000011	311.4607849	1	0
115.0165024	0.537500024	2.000499964	339.8705139	1	0
112.5565033	0.592999995	2.112999916	361.2979126	1	0
109.8457031	0.734000027	2.361000061	375.3016968	1	0
107.4509964	0.666000009	2.289999962	381.5752869	1	0
104.8687973	0.589999974	1.98300004	369.0053101	1	0
102.3495026	0.521499991	1.985499978	343.6069946	1	0
105.3591995	0.453000009	1.988000035	323.3720093	1	0
114.3442993	0.330000013	2.217999935	317.7867127	1	0
127.210701	0.384999991	2.345000029	311.9570007	1	0
131.7640076	0.379000008	2.377000094	298.8734131	1	0
130.8374939	0.407000005	2.211999893	284.6270142	1	0
126.5254974	0.421000004	2.329999924	284.1119995	1	0
124.0367966	0.435000002	2.447999954	280.605011	1	0
125.375	0.435000002	2.428999901	274.5589905	1	0
127.1156998	0.340000004	2.322000027	269.9552918	1	0
131.9342957	0.360000014	1.768000007	272.791687	1	0
133.3993073	0.368000001	1.906999946	279.0181885	1	0
134.9349976	0.364499986	2.04550004	284.6535034	1	0
132.4846954	0.361000001	2.184000015	301.3411865	1	0
127.2232971	0.456	2.11500001	318.1572876	1	0
120.4546967	0.549000025	2.112999916	333.3893127	1	0
114.9775009	0.460999996	2.217000008	337.5524902	1	0
111.2695007	0.55250001	2.265500069	342.1115112	1	0
109.1194992	0.643999994	2.313999891	340.8594971	1	0
108.8283005	0.865999997	2.413000107	327.978302	1	0
107.9459992	0.777999997	2.397000074	322.2590027	1	0
108.585701	0.652999997	2.367000103	308.3370056	1	0
108.6967011	0.623000026	2.35800004	292.5245056	1	0
110.7289963	0.57950002	2.384500027	256.0304871	1	0
115.0223007	0.536000013	2.411000013	234.5677948	1	0
123.7397003	0.463999987	2.437999964	226.4996948	1	0
133.5957031	0.358999997	2.411999941	231.998703	1	0
139.0052948	0.338	2.380000114	239.0484924	1	0
139.0899963	0.347000003	2.36500001	246.6835022	1	0
135.9900055	0.356000006	2.349999905	267.8154907	1	0
133.5890045	0.382999986	2.34800005	288.7690125	1	0
130.2799988	0.342999995	2.233999968	298.9249878	1	0
130.221695	0.321999997	2.085999966	300.1777039	1	0
129.6446991	0.321999997	2.38199997	295.8293152	1	0
130.1560059	0.332500011	2.355000019	296.4989929	1	0
130.7032929	0.342999995	2.328000069	281.6260071	1	0
132.8509979	0.351000011	2.312000036	270.1456909	1	0
137.4219971	0.414000005	2.323999882	264.1549988	1	0
139.5509949	0.430000007	2.338000059	268.3237	1	0
139.598999	0.419499993	2.306499958	273.677002	1	0
139.2709961	0.409000009	2.275000095	270.9880066	1	0
139.3522949	0.36500001	2.369999886	265.8103943	1	0
140.9340057	0.335000008	2.420000076	257.405304	1	0
139.9376984	0.277999997	2.414000034	258.1090088	1	0
139.5462036	0.307999998	2.34100008	257.7005005	1	0
138.6685028	0.349000007	2.309499979	256.9184876	1	0
139.2111969	0.389999986	2.278000116	254.3184967	1	0
138.7967072	0.564999998	2.13199997	252.4160004	1	0
135.978302	0.541999996	1.993999958	260.484314	1	0
131.7563019	0.458999991	2.107000113	292.0360107	1	0
127.495697	0.522000015	1.957000017	328.1354981	1	0
124.6429977	0.469999999	1.967499971	359.509491	1	0
124.2610016	0.418000013	1.978000045	364.9794922	1	0
125.9636993	0.368999988	1.871999979	366.4700012	1	0
134.1040039	0.338	2.128999949	370.7792969	1	0
142.0462036	0.372000009	2.285000086	372.5104981	1	0
150.1244965	0.360500008	2.338999987	371.7384949	1	0
151.3822022	0.349000007	2.392999888	354.1921997	1	0
147.8916931	0.418000013	2.463999987	329.2937012	1	0
142.1676941	0.393999994	2.454999924	306.7687073	1	0
133.5160065	0.467000008	2.461999893	289.6119995	1	0
128.9427033	0.611999989	2.394000053	283.7695007	1	0
125.9329987	0.602999985	2.344500065	279.5155029	1	0
128.723999	0.593999982	2.295000076	281.5484924	1	0
131.8397064	0.398000002	2.326999903	290.5270081	1	0
134.7740021	0.508000016	2.308000088	306.5714111	1	0
135.1842041	0.497999996	2.296000004	320.7706909	1	0
133.684494	0.495000005	2.322999954	326.3999939	1	0
128.6927948	0.492000014	2.349999905	325.7922974	1	0
123.6703033	0.474999994	2.319000006	322.817688	1	0
122.4287033	0.481000006	2.286000013	322.3269959	1	0
127.0376968	0.333000004	2.342000008	318.9193115	1	0
132.7682037	0.386000007	2.414999962	318.7276917	1	0
135.8085022	0.416999996	2.413000107	316.901001	1	0
134.5052033	0.448000014	2.411000013	314.6012878	1	0
131.4176941	0.430000007	2.381000042	314.4013062	1	0
127.5447006	0.446999997	2.352999926	316.3316956	1	0
124.6102982	0.421999991	2.427000046	322.4602051	1	0
122.7269974	0.399500012	2.431999922	328.9014893	1	0
121.9897003	0.377000004	2.437000036	333.6689148	1	0
125.1092987	0.375	2.427000046	340.5632935	1	0
129.7882996	0.340000004	2.417000055	351.7279968	1	0
134.0572968	0.35800001	2.344000101	357.6719971	1	0
133.7982025	0.338	2.177000046	356.8138123	1	0
131.3085022	0.328999996	2.234499931	347.0104981	1	0
127.5711975	0.319999993	2.292000055	338.6765137	1	0
125.1299973	0.331999987	2.371000052	328.2337036	1	0
124.6903	0.426999986	2.420000076	312.1787109	1	0
125.7389984	0.44600001	2.459000111	297.5812073	1	0
127.086998	0.458999991	2.463500023	285.5174866	1	0
128.8892975	0.472000003	2.467999935	278.0952148	1	0
131.9427033	0.372000009	2.450000048	269.8717041	1	0
136.9862976	0.284999996	2.428999901	264.3942871	1	0
143.8609924	0.305999994	2.477999926	260.390686	1	0
149.1965027	0.342999995	2.48300004	259.8835144	1	0
152.2534943	0.338999987	2.474999905	259.3255005	1	0
152.8997955	0.335000008	2.467000008	257.7455139	1	0
153.7602997	0.279000014	2.447000027	253.152298	1	0
155.8339996	0.286000013	2.420000076	245.4333038	1	0
156.4416962	0.293000013	2.421000004	241.5892944	1	0
155.3497009	0.326999992	2.540999889	241.6381989	1	0
151.5590057	0.318500012	2.513000011	245.6925049	1	0
145.5182953	0.310000002	2.484999895	251.5834961	1	0
141.8742981	0.277999997	2.450000048	257.6272888	1	0
140.4777069	0.305999994	2.450000048	262.2349854	1	0
143.0363007	0.340999991	2.446000099	263.8291931	1	0
145.4920044	0.328500003	2.444999933	263.4494934	1	0
147.0023041	0.316000015	2.444000006	264.4375	1	0
146.3742981	0.280999988	2.467999935	266.5112915	1	0
143.6009979	0.321999997	2.453000069	269.9883118	1	0
137.5792999	0.342999995	2.45600009	272.8604126	1	0
132.3318024	0.361999989	2.457000017	275.4737854	1	0
127.8655014	0.350499988	2.446500063	277.5115051	1	0
126.864502	0.338999987	2.436000109	280.711792	1	0
127.3170013	0.314999998	2.437000036	286.9372864	1	0
130.3233032	0.365999997	2.438999891	281.376709	1	0
133.5740051	0.356000006	2.414999962	273.6788025	1	0
136.2050018	0.369500011	2.398999929	262.3015137	1	0
137.1927033	0.382999986	2.382999897	260.8432007	1	0
138.1813049	0.405999988	2.375	256.6983948	1	0
136.7577057	0.358999997	2.38199997	260.2983093	1	0
134.7527008	0.326999992	2.401000023	268.952301	1	0
132.4187012	0.372999996	2.444999933	280.6470032	1	0
132.1690064	0.351000011	2.458499908	284.9509888	1	0
132.8639984	0.328999996	2.471999884	284.8009949	1	0
133.397995	0.286000013	2.505000114	279.3059998	1	0
132.3972931	0.319000006	2.496999979	269.9132996	1	0
130.8148041	0.305999994	2.388000011	261.8266907	1	0
129.5794983	0.306499988	2.407000065	259.4240112	1	0
128.9234924	0.307000011	2.426000118	261.6842957	1	0
131.2727051	0.363000006	2.433000088	264.8590088	1	0
133.1083069	0.377999991	2.444999933	269.8403015	1	0
137.3822937	0.367000014	2.470000029	278.5010071	1	0
138.7122955	0.36500001	2.486999989	286.3435059	1	0
140.6170044	0.345499992	2.485500097	292.4754944	1	0
140.5877075	0.326000005	2.483999968	294.6358948	1	0
140.929306	0.333999991	2.473999977	296.4339905	1	0
142.205307	0.351999998	2.460000038	297.6487122	1	0
146.5630035	0.331	2.459000111	299.2156982	1	0
150.8822937	0.36500001	2.450999975	300.2268066	1	0
154.6000061	0.344999999	2.448499918	300.9035034	1	0
156.5287018	0.324999988	2.446000099	300.4768066	1	0
156.4837036	0.342000008	2.427999973	296.1459961	1	0
154.2929993	0.317000002	2.428999901	281.0563049	1	0
151.2127075	0.261999995	2.460000038	263.5198059	1	0
149.4779968	0.259499997	2.45449996	247.6454926	1	0
150.1483002	0.256999999	2.448999882	237.940506	1	0
150.1903076	0.300000012	2.477999926	229.9927063	1	0
149.2259979	0.280000001	2.505000114	226.5166931	1	0
146.574295	0.270000011	2.490999937	225.0007019	1	0
144.6667023	0.275999993	2.513000011	226.1589966	1	0
143.8809967	0.281500012	2.505000114	227.2769928	1	0
143.623703	0.287000001	2.496999979	232.1573029	1	0
141.7317047	0.272000015	2.503000021	231.4627075	1	0
139.3766937	0.273999989	2.489000082	230.1457062	1	0
137.2774963	0.303000003	2.480000019	229.0057068	1	0
136.6815033	0.291999996	2.493000031	232.5610046	1	0
137.8585053	0.280999988	2.506000042	237.8253021	1	0
138.7042999	0.291999996	2.517999888	253.6889954	1	0
140.1517029	0.300000012	2.50699997	271.0830078	1	0
139.6963043	0.338	2.49000001	288.4833069	1	0
140.0343018	0.351000011	2.493999958	294.5541992	1	0
