DEPTH,GR_F,RTds,RHOBC,NPHIC,DT4P,Perm_Core_ds,Pore_Core_ds,PorZ_Core_ds,RHOB_Core_ds,Rqi_Core_ds,Rqi_spec_Core,Soil_Core_ds,Swir_spec_Core,Sw_Core_ds,PHIE_D,PHIE_FINAL,PHIE_N,PHIE_ND,PHIE_S,PHIE_sand,Swi_Porz10,Swi_Porz9,Swi_Rqi10,Swi_Rqi9,Sw_Ind,Sxo_Ind,TypeRock,VCL_disp,VCL_FINAL,VCL_lam
1699.8696,17.4631,17.0319,2.5843,0.0646,65.9477,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1700.022,18.3058,18.5778,2.5919,0.0609,65.9078,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0086,0.052,0.0591,0.052,0.0823,0.0406,0.4811,1.44,2.1623,2.3642,0.7929,0.9279,4,0.0255,0.0255,0
1700.1744,18.8685,19.9083,2.6049,0.0613,65.9152,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0453,0.0529,0.0453,0.0753,0.0353,0.5038,1.5884,2.497,2.701,0.8184,0.9604,4,0.04,0.04,0
1700.3268,17.3195,21.7652,2.6176,0.0576,65.4068,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0394,0.0473,0.0394,0.0695,0.0299,0.5281,1.756,2.8694,3.0755,0.8623,1.0054,4,0.0442,0.0442,0
1700.4792,20.2387,24.5164,2.6329,0.0517,63.533,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0283,0.0362,0.0283,0.0501,0.0195,0.5889,2.2132,3.8446,4.0556,0.9902,1.1227,4,0.0555,0.0555,0
1700.6316,19.9168,27.6675,2.6423,0.0429,62.2407,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0218,0.0295,0.0218,0.043,0.0126,0.6413,2.6529,4.7228,4.9378,1.1451,1.2469,4,0.0507,0.0507,0
1700.784,18.4427,26.7465,2.6493,0.0369,61.2261,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0181,0.0258,0.0181,0.0378,0.0085,0.6824,3.0271,5.4256,5.6434,1.3681,1.482,4,0.046,0.046,0
1700.9364,19.1813,25.1113,2.6632,0.0363,60.5079,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0106,0.0187,0.0106,0.0256,0.0023,0.8114,4.3731,7.6685,7.8943,1.7511,1.8504,4,0.06,0.06,0
1701.0888,18.1963,20.4249,2.6719,0.0384,61.1431,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0075,0.0161,0.0075,0.0254,0.0003,0.9061,5.5293,9.3164,9.5473,2.0926,2.1431,4,0.07,0.07,0
1701.2412,26.5836,11.6858,2.6405,0.0764,63.4999,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,0.0257,0.0348,0.0257,0.0219,0.0215,0.6078,2.3667,4.1579,4.3704,1.2023,1.1841,4,0.1122,0.1122,0
